,id
1928,7977339226
1929,7977231132
1930,7977150376
1931,7977090502
1932,7977018485
1933,7976403107
1934,7976279063
1935,7976210737
1936,7976180048
1937,7976086048
1938,7976071241
1939,7975935708
1940,7975918514
1941,7975795916
1942,7975795134
1943,7975678493
1944,7975646156
1945,7975593614
1946,7975567356
1947,7975496693
1948,7975493346
1949,7975410015
1950,7975406864
1951,7975331380
1952,7975330082
1953,7974567836
1954,7974538106
1955,7974427275
1956,7974424237
1957,7974318443
1958,7974260231
1959,7974206675
1960,7974106301
1961,7974102995
1962,7973999193
1963,7973977216
1964,7973889148
1965,7973869110
1966,7973809955
1967,7973769812
1968,7973734261
1969,7973689166
1970,7973665209
1971,7973603110
1972,7973602934
1973,7972825686
1974,7972768294
1975,7972708656
1976,7972675517
1977,7972617541
1978,7972578191
1979,7972506299
1980,7972445566
1981,7972392908
1982,7972356320
1983,7972307189
1984,7972235565
1985,7972206434
1986,7972169966
1987,7972143214
1988,7972088536
1989,7972080754
1990,7972029465
1991,7972029054
1992,7881677439
1993,7881625418
1994,7881541114
1995,7881471013
1996,7881389968
1997,7881212155
1998,7881113526
1999,7880964178
2000,7880018671
2001,7879950221
2002,7879893880
2003,7879830665
2004,7879728981
2005,7879638772
2006,7879523865
2007,7879392863
2008,7879298654
2009,7879165529
2010,7878337842
2011,7878288609
2012,7878172712
2013,7878033873
2014,7877972067
2015,7877871116
2016,7877731893
2017,7877644307
2018,7874732591
2019,7874628866
2020,7874606478
2021,7874508927
2022,7874495043
2023,7874430540
2024,7874418068
2025,7874329694
2026,7874321481
2027,7873513834
2028,7873471790
2029,7873460520
2030,7873424777
2031,7873419299
2032,7873377909
2033,7873368258
2034,7873291876
2035,7873275115
2036,7873212660
2037,7873170785
2038,7873114667
2039,7873093016
2040,7873004583
2041,7872991644
2042,7872914441
2043,7872904790
2044,7872760809
2045,7872757361
2046,7871993577
2047,7871957348
2048,7871907580
2049,7871859785
2050,7871841510
2051,7871813061
2052,7871805283
2053,7871751250
2054,7871747856
2055,7871673050
2056,7871663427
2057,7871599214
2058,7871581785
2059,7871510918
2060,7871488241
2061,7871402890
2062,7871389738
2063,7871295230
2064,7871294625
2065,7871191344
2066,7871184978
2067,7870352236
2068,7870307422
2069,7870252608
2070,7870252083
2071,7870204076
2072,7870190337
2073,7870124437
2074,7870118652
2075,7870035954
2076,7870023478
2077,7869914046
2078,7869910875
2079,7869817610
2080,7869807144
2081,7869714352
2082,7869693613
2083,7869590399
2084,7869566542
2085,7868586377
2086,7868535426
2087,7868488108
2088,7868485382
2089,7868440562
2090,7868430615
2091,7868389927
2092,7868368379
2093,7868335527
2094,7868298420
2095,7868248862
2096,7868219820
2097,7868152996
2098,7868122229
2099,7868041895
2100,7868016116
2101,7867947145
2102,7867913832
2103,7867831578
2104,7867821980
2105,7867703436
2106,7867691175
2107,7866669340
2108,7866651970
2109,7866627609
2110,7866610343
2111,7866574304
2112,7866549860
2113,7866523626
2114,7866467176
2115,7866430530
2116,7866370209
2117,7866335559
2118,7866248728
2119,7866238458
2120,7866162804
2121,7866142432
2122,7866064588
2123,7866040071
2124,7865926685
2125,7865925904
2126,7865076417
2127,7865060947
2128,7865039171
2129,7865027551
2130,7865017734
2131,7865002120
2132,7864945150
2133,7864944997
2134,7864944324
2135,7864935190
2136,7864898397
2137,7864877706
2138,7864874425
2139,7864866391
2140,7864837240
2141,7864805390
2142,7864779311
2143,7864771187
2144,7864759113
2145,7864733725
2146,7864719903
2147,7864679609
2148,7864672686
2149,7864651838
2150,7864618688
2151,7864574307
2152,7864562262
